"observed_month","district","point","latitude","longitude","sf_find_neighborhood","supervisor","other_vehicles","passenger_vehicles","structures","tents","data_loaded_at","data_as_of"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.380514839 37.726665008)","37.7266650076","-122.38051483854","Hunters Point","10","2","0","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.39719392 37.745310507)","37.74531050725","-122.39719392023","Produce Market","10","19","0","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.402783472 37.746251704)","37.74625170376","-122.40278347241","Produce Market","10","11","2","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.381313406 37.725805491)","37.72580549067","-122.38131340617","Hunters Point","10","0","2","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.404219868 37.742769396)","37.74276939607","-122.40421986848","Produce Market","10","0","0","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.404219868 37.742769396)","37.74276939607","-122.40421986848","Produce Market","10","7","2","1","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.406749028 37.739258325)","37.73925832505","-122.4067490279","Apparel City","10","0","0","0","1","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.406471485 37.741551081)","37.74155108072","-122.40647148468","Apparel City","9","0","0","3","10","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.38419269 37.729194362)","37.7291943618","-122.38419268988","Bayview","10","2","0","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.381964938 37.728144515)","37.72814451537","-122.3819649376","Hunters Point","10","0","1","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.403574884 37.748233582)","37.74823358233","-122.40357488434","Produce Market","10","1","1","3","2","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
