observed_month,district,point,latitude,longitude,sf_find_neighborhood,supervisor,other_vehicles,passenger_vehicles,structures,tents,data_loaded_at,data_as_of,dist_to_bathroom_m,bathrooms_within_500m,needles_within_500m,underserved,kmeans_cluster,dbscan_cluster
2025-06-01,INGLESIDE,POINT (-122.443217374 37.728773229),37.72877322921,-122.44321737438,Mission Terrace,7.0,2,1,0,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,208.21633321052408,7,24,False,0,4
2025-06-01,BAYVIEW,POINT (-122.383551025 37.743280112),37.74328011217,-122.3835510251,India Basin,10.0,2,0,0,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,333.2857777484002,8,138,False,3,3
2025-06-01,INGLESIDE,POINT (-122.441831343 37.729420254),37.72942025427,-122.44183134288,Mission Terrace,7.0,3,1,0,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,240.7789229337172,7,29,False,0,4
2025-06-01,BAYVIEW,POINT (-122.391023894 37.724174119),37.7241741195,-122.39102389379,Bayview,10.0,2,0,0,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,214.24994760846488,4,83,False,0,3
2025-06-01,CENTRAL,POINT (-122.412303239 37.786807167),37.78680716678,-122.41230323911,Tenderloin,5.0,0,0,1,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,85.94212453662449,11,2843,False,2,-1
2025-06-01,RICHMOND,POINT (-122.478744337 37.769454241),37.76945424145,-122.47874433749,Golden Gate Park,4.0,0,0,1,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,156.15538445326897,5,27,False,4,2
2025-06-01,SOUTHERN,POINT (-122.398297749 37.772868301),37.77286830118,-122.39829774946,Mission Bay,6.0,0,0,0,1,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,138.17859480709564,2,592,False,5,-1
2025-06-01,BAYVIEW,POINT (-122.392011852 37.72340641),37.72340641011,-122.39201185241,Bret Harte,10.0,3,1,0,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,209.254316605834,4,74,False,0,3
2025-06-01,TARAVAL,POINT (-122.472574152 37.718711527),37.71871152729,-122.47257415205,Stonestown,7.0,1,0,0,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,212.8533633820231,4,5,False,0,0
2025-06-01,CENTRAL,POINT (-122.412469201 37.787534499),37.78753449877,-122.41246920079,Lower Nob Hill,3.0,0,0,1,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,150.92594828339136,9,2489,False,5,-1
2025-06-01,SOUTHERN,POINT (-122.394542992 37.77622467),37.77622467025,-122.39454299212,Mission Bay,6.0,0,0,1,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,147.36376818446087,4,659,False,5,-1
2025-06-01,BAYVIEW,POINT (-122.393608665 37.721723868),37.72172386823,-122.39360866513,Bret Harte,10.0,0,1,0,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,236.2685229045016,4,62,False,0,3
2025-06-01,RICHMOND,POINT (-122.472466617 37.770063003),37.77006300292,-122.4724666173,Golden Gate Park,7.0,0,0,1,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,133.90196898419157,12,38,False,4,2
2025-06-01,TARAVAL,POINT (-122.470259406 37.714845705),37.71484570523,-122.47025940567,Merced Heights,11.0,1,0,0,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,231.53104263669604,5,7,False,0,0
2025-06-01,TARAVAL,POINT (-122.469837628 37.714744389),37.71474438912,-122.4698376283,Merced Heights,11.0,1,0,0,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,244.90299055222337,5,8,False,0,0
2025-06-01,BAYVIEW,POINT (-122.386137391 37.739818484),37.73981848352,-122.38613739072,Bayview,10.0,2,0,0,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,36.8640589960113,7,226,False,0,3
2025-06-01,RICHMOND,POINT (-122.491854356 37.771986535),37.77198653523,-122.49185435627,Golden Gate Park,1.0,0,0,1,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,246.22981570218565,10,13,False,4,2
