latitude,longitude,resource_type,access,supervisor_district,analysis_neighborhood,needles_within_500m,encampments_within_500m
37.79502053126163,-122.40533899196149,restroom,publicly_accessible,3.0,Chinatown,992,6
37.770201240000006,-122.48968921,drinking_water,publicly_accessible,4.0,Sunset/Parkside,12,14
37.71503456000001,-122.45754732,drinking_water,publicly_accessible,11.0,Oceanview/Merced/Ingleside,24,18
37.77082798,-122.50299987,drinking_water,publicly_accessible,1.0,Golden Gate Park,25,21
37.779081776000055,-122.41615205,drinking_water,limited_access,5.0,Tenderloin,5708,47
37.75081965,-122.49832207,drinking_water,publicly_accessible,4.0,Sunset/Parkside,21,5
37.733856370000005,-122.44819921,drinking_water,publicly_accessible,7.0,West of Twin Peaks,33,0
37.735993787219805,-122.48720705541815,restroom,publicly_accessible,4.0,Sunset/Parkside,20,4
37.77590945664165,-122.42765945401244,restroom,publicly_accessible,5.0,Hayes Valley,2070,9
37.77055703,-122.48014118,drinking_water,publicly_accessible,1.0,Golden Gate Park,23,24
37.76792764,-122.50184764,drinking_water,publicly_accessible,1.0,Golden Gate Park,20,33
37.78538709,-122.41824809,drinking_water,limited_access,5.0,Tenderloin,3612,77
37.77677036001743,-122.406057796802,restroom,publicly_accessible,6.0,South of Market,3525,44
37.72640027156061,-122.44323590203872,restroom,publicly_accessible,11.0,Outer Mission,28,14
37.7521752,-122.4185771,restroom,publicly_accessible,9.0,Mission,677,14
37.74272967,-122.42702128,drinking_water,publicly_accessible,8.0,Noe Valley,115,2
37.75611926407427,-122.39696359457824,restroom,publicly_accessible,10.0,Potrero Hill,87,8
37.7809272,-122.419371,drinking_water,limited_access,5.0,Tenderloin,3866,45
37.77608607438947,-122.43432885373568,restroom,publicly_accessible,5.0,Hayes Valley,464,2
37.74195626,-122.46517038,drinking_water,publicly_accessible,7.0,West of Twin Peaks,52,3
37.75812855,-122.41306199,drinking_water,limited_access,9.0,Mission,1087,24
37.76990547142128,-122.45428183846612,restroom,limited_access,5.0,Golden Gate Park,211,21
37.71509082,-122.45890729,drinking_water,publicly_accessible,11.0,Oceanview/Merced/Ingleside,22,15
37.77094118,-122.4990186,drinking_water,publicly_accessible,1.0,Golden Gate Park,21,13
37.75609621,-122.39683774,drinking_water,publicly_accessible,10.0,Potrero Hill,89,8
37.80355247125704,-122.42124359250042,restroom,publicly_accessible,2.0,Russian Hill,224,1
37.784118524000064,-122.43748930299996,drinking_water,limited_access,5.0,Japantown,503,8
37.76680514804956,-122.4683584852519,restroom,publicly_accessible,7.0,Golden Gate Park,82,21
37.72579634,-122.39330733,drinking_water,publicly_accessible,10.0,Bayview Hunters Point,98,59
37.80261305,-122.41204767,drinking_water,publicly_accessible,3.0,North Beach,305,13
37.78369098827751,-122.4511354376156,restroom,publicly_accessible,2.0,Presidio Heights,272,13
37.73328,-122.38366,drinking_water,publicly_accessible,10.0,Bayview Hunters Point,68,21
37.73663641,-122.44061654,drinking_water,limited_access,8.0,Glen Park,30,0
37.71402187,-122.42315071,drinking_water,publicly_accessible,10.0,McLaren Park,11,1
37.80227028,-122.40594449,drinking_water,publicly_accessible,3.0,North Beach,405,7
37.794609220000005,-122.4055779,drinking_water,publicly_accessible,3.0,Chinatown,1028,6
37.71394326427549,-122.41637790217736,restroom,publicly_accessible,10.0,McLaren Park,4,9
37.73973959372992,-122.37539271248392,restroom,publicly_accessible,10.0,Bayview Hunters Point,1,8
