latitude,longitude,district,sf_find_neighborhood,supervisor,tents,structures,observed_month,dist_to_bathroom_m,bathrooms_within_500m,needles_within_500m,underserved
37.73705262961,-122.40388281243,BAYVIEW,Apparel City,10.0,0,1,2025-06-01,399.5465176520625,2,354,False
37.72659900858,-122.38340388808,BAYVIEW,Hunters Point,10.0,0,0,2025-06-01,373.45009435867166,3,42,False
37.72600856466,-122.38361890991,BAYVIEW,Hunters Point,10.0,0,0,2025-06-01,424.04525897899305,2,47,False
37.73024623863,-122.37142575981,BAYVIEW,Hunters Point,10.0,0,0,2025-06-01,391.52433011724565,4,8,False
37.73788360323,-122.40411316437,BAYVIEW,Apparel City,10.0,0,0,2025-06-01,475.0123265169054,2,421,False
37.72644208681,-122.38422386439,BAYVIEW,Hunters Point,10.0,0,0,2025-06-01,387.7642292472936,2,53,False
37.73882660543,-122.40278276614,BAYVIEW,Apparel City,10.0,0,2,2025-06-01,548.2371085075313,0,505,False
37.72750514976,-122.47462101281,TARAVAL,Stonestown,7.0,0,1,2025-06-01,80.75143333436863,2,39,False
37.72546365713,-122.38164164664,BAYVIEW,Hunters Point,10.0,0,0,2025-06-01,507.49111267787623,0,28,False
37.72583211084,-122.47516918927,TARAVAL,Stonestown,7.0,0,0,2025-06-01,89.31526424038206,2,19,False
37.72605562912,-122.38103285349,BAYVIEW,Hunters Point,10.0,0,0,2025-06-01,483.86320818085096,2,25,False
37.73814149661,-122.40000207288,BAYVIEW,Silver Terrace,10.0,0,0,2025-06-01,536.4472700203022,0,258,False
37.72644192037,-122.38070207233,BAYVIEW,Hunters Point,10.0,0,0,2025-06-01,470.78940720713484,3,25,False
37.73607690491,-122.39754944562,BAYVIEW,Silver Terrace,10.0,0,0,2025-06-01,527.8483746353078,0,167,False
37.73701701575,-122.39951588345,BAYVIEW,Silver Terrace,10.0,0,0,2025-06-01,468.92575314724667,2,218,False
37.73773368834,-122.39881196761,BAYVIEW,Silver Terrace,10.0,0,0,2025-06-01,555.4874697795105,0,220,False
37.72875975663,-122.37349182392,BAYVIEW,Hunters Point,10.0,0,0,2025-06-01,374.06551845920404,2,7,False
37.73919404695,-122.40004567006,BAYVIEW,Silver Terrace,10.0,0,0,2025-06-01,461.85177752050885,1,335,False
